Date,Open,High,Low,Close,Adj Close,Volume
2021-03-15,50.000000,50.000000,50.000000,50.000000,50.000000,211400
2021-03-16,50.000000,50.000000,50.000000,50.000000,50.000000,5900
2021-03-17,50.000000,50.000000,50.000000,50.000000,50.000000,10500
2021-03-18,50.000000,50.000000,50.000000,50.000000,50.000000,25600
2021-03-19,50.000000,50.000000,50.000000,50.000000,50.000000,2100
2021-03-22,50.000000,50.000000,50.000000,50.000000,50.000000,200
2021-03-23,50.000000,50.000000,50.000000,50.000000,50.000000,2500
2021-03-24,50.000000,50.000000,50.000000,50.000000,50.000000,700
2021-03-25,50.000000,50.000000,50.000000,50.000000,50.000000,10000
2021-03-26,50.000000,50.000000,50.000000,50.000000,50.000000,4700
2021-03-29,50.000000,50.000000,50.000000,50.000000,50.000000,500
2021-03-30,50.000000,50.000000,50.000000,50.000000,50.000000,30400
2021-03-31,50.000000,50.000000,50.000000,50.000000,50.000000,300
2021-04-01,50.000000,50.000000,50.000000,50.000000,50.000000,40000
2021-04-05,50.000000,50.000000,50.000000,50.000000,50.000000,100
2021-04-06,50.000000,50.000000,50.000000,50.000000,50.000000,0
2021-04-07,50.000000,50.000000,50.000000,50.000000,50.000000,0
2021-04-08,50.000000,50.000000,50.000000,50.000000,50.000000,800
2021-04-09,50.000000,50.000000,50.000000,50.000000,50.000000,301000
2021-04-12,50.000000,50.000000,50.000000,50.000000,50.000000,4400
2021-04-13,50.000000,50.000000,50.000000,50.000000,50.000000,1200
2021-04-14,50.000000,50.000000,50.000000,50.000000,50.000000,1200
2021-04-15,50.000000,50.000000,50.000000,50.000000,50.000000,2500
2021-04-16,50.000000,50.000000,50.000000,50.000000,50.000000,1600
2021-04-19,50.000000,50.000000,50.000000,50.000000,50.000000,5600
2021-04-20,50.000000,50.000000,50.000000,50.000000,50.000000,25000
2021-04-21,50.000000,50.000000,50.000000,50.000000,50.000000,300
2021-04-22,50.000000,50.000000,50.000000,50.000000,50.000000,2600
2021-04-23,50.000000,50.000000,50.000000,50.000000,50.000000,50200
2021-04-26,50.000000,50.000000,50.000000,50.000000,50.000000,2500
2021-04-27,50.000000,50.000000,50.000000,50.000000,50.000000,0
2021-04-28,50.000000,50.000000,50.000000,50.000000,50.000000,4100
2021-04-29,50.000000,50.000000,50.000000,50.000000,50.000000,400
2021-04-30,50.000000,50.000000,50.000000,50.000000,50.000000,6000
